-ID;-ReportNo;Сертификат;Форма;вес;Цвет;Чистота;Огранка;Полировка;Симметрия;размер1;размер2;размер3;-price/ct;-price/stone;-маржа;цена;
0;783627252;;Круг;0,30 ;D;VVS1;ID;EX;EX;4,30 ;4,32 ;2,66 ;$240;$72;110%;151 ;
1;771633879;;Круг;0,30 ;D;VVS1;ID;EX;EX;4,37 ;4,39 ;2,60 ;$240;$72;110%;151 ;
2;733585164;;Круг;0,30 ;E;VVS1;ID;EX;EX;4,31 ;4,33 ;2,65 ;$200;$60;110%;126 ;
3;726510366;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,35 ;4,37 ;2,63 ;$170;$51;110%;107 ;
4;727520372;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,35 ;4,39 ;2,60 ;$170;$51;110%;107 ;
5;726560631;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,30 ;4,33 ;2,67 ;$170;$51;110%;107 ;
6;715594532;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,33 ;4,38 ;2,59 ;$170;$51;110%;107 ;
7;727583814;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,38 ;4,40 ;2,62 ;$170;$51;110%;107 ;
8;728511852;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,29 ;4,32 ;2,60 ;$170;$51;110%;107 ;
9;728514252;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,24 ;4,27 ;2,67 ;$170;$51;110%;107 ;
10;728514263;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,33 ;4,35 ;2,67 ;$170;$51;110%;107 ;
11;728516217;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,29 ;4,33 ;2,67 ;$170;$51;110%;107 ;
12;728516362;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,28 ;4,30 ;2,67 ;$170;$51;110%;107 ;
13;728516371;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,23 ;4,27 ;2,65 ;$170;$51;110%;107 ;
14;728532947;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,38 ;4,40 ;2,63 ;$170;$51;110%;107 ;
15;728532948;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,27 ;4,31 ;2,67 ;$170;$51;110%;107 ;
16;728532957;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,32 ;4,36 ;2,61 ;$170;$51;110%;107 ;
17;728532969;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,33 ;4,36 ;2,64 ;$170;$51;110%;107 ;
18;728533464;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,34 ;4,39 ;2,65 ;$170;$51;110%;107 ;
19;728536971;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,28 ;4,30 ;2,67 ;$170;$51;110%;107 ;
20;728536975;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,27 ;4,30 ;2,63 ;$170;$51;110%;107 ;
21;728536981;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,29 ;4,33 ;2,68 ;$170;$51;110%;107 ;
22;728536987;;Круг;0,30 ;D;VVS2;EX;EX;EX;4,33 ;4,37 ;2,64 ;$170;$51;110%;107 ;
23;728536997;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,29 ;4,34 ;2,68 ;$170;$51;110%;107 ;
24;728554146;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,29 ;4,31 ;2,68 ;$170;$51;110%;107 ;
25;733538581;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,28 ;4,31 ;2,65 ;$170;$51;110%;107 ;
26;733538502;;Круг;0,30 ;D;VVS2;ID;EX;EX;4,34 ;4,36 ;2,64 ;$170;$51;110%;107 ;
